type,name,label
f,achievements,Achievements
f,captions available,Captions available
f,cloud,Cloud
f,co-op,Co-op
f,commentary available,Commentary available
f,cross-platform multiplayer,Cross-Platform Multiplayer
f,downloadable content,Downloadable Content
f,full controller support,Full controller support
f,game demo,Game demo
f,in-app purchases,In-App Purchases
f,includes level editor,Includes level editor
f,includes source sdk,Includes Source SDK
f,leaderboards,Leaderboards
f,local co-op,Local Co-op
f,local multi-player,Local Multi-Player
f,mmo,MMO
f,mods,Mods
f,mods (require hl1),Mods (require HL1)
f,mods (require hl2),Mods (require HL2)
f,multi-player,Multi-player
f,online co-op,Online Co-op
f,online multi-player,Online Multi-Player
f,partial controller support,Partial Controller Support
f,shared/split screen,Shared/Split Screen
f,single-player,Single-player
f,stats,Stats
f,trading cards,Trading Cards
f,turn notifications,Turn Notifications
f,valve anti-cheat enabled,Valve Anti-Cheat enabled
f,vr collectibles,VR Collectibles
f,vr support,VR Support
f,workshop,Workshop
t,1980s,1980s
t,1990's,1990's
t,2.5d,2.5D
t,2d,2D
t,2d fighter,2D Fighter
t,360 video,360 Video
t,3d platformer,3D Platformer
t,3d vision,3D Vision
t,4 player local,4 Player Local
t,4x,4X
t,6dof,6DOF
t,abstract,Abstract
t,action,Action
t,action rpg,Action RPG
t,action-adventure,Action-Adventure
t,adventure,Adventure
t,agriculture,Agriculture
t,aliens,Aliens
t,alternate history,Alternate History
t,america,America
t,animation & modeling,Animation & Modeling
t,anime,Anime
t,arcade,Arcade
t,arena shooter,Arena Shooter
t,artificial intelligence,Artificial Intelligence
t,assassin,Assassin
t,asynchronous multiplayer,Asynchronous Multiplayer
t,atmospheric,Atmospheric
t,audio production,Audio Production
t,base building,Base Building
t,based on a novel,Based On A Novel
t,basketball,Basketball
t,batman,Batman
t,beat 'em up,Beat 'em up
t,benchmark,Benchmark
t,bikes,Bikes
t,blood,Blood
t,board game,Board Game
t,bowling,Bowling
t,building,Building
t,bullet hell,Bullet Hell
t,bullet time,Bullet Time
t,capitalism,Capitalism
t,card game,Card Game
t,cartoon,Cartoon
t,cartoony,Cartoony
t,casual,Casual
t,character action game,Character Action Game
t,character customization,Character Customization
t,chess,Chess
t,choices matter,Choices Matter
t,choose your own adventure,Choose Your Own Adventure
